Company,Mine Site,Aliases,Company's share (%),Country,Mining type,Products,Status as of 29.11.2019,Year of closure (if applicable),Opening Year,Acquisition Year,Latitude,Longitude,Selected for the mine-site level evaluation,Total Worker Fatalities (2019),Employee Fatalites (2019),Contract Worker Fatalities (2019),Other Fatalities (2019),Total Worker Fatalities (2020),Employee Fatalities (2020),Contract Worker Fatalities (2020),Other Fatalities (2020)
ArcelorMittal,Fire Lake,,85,Canada,Open-pit,Iron Ore,Operational,,2006,,52.355,-67.365,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
ArcelorMittal,Karaganda,"Kostenko, Stakhanovskaya, Kuzembaeva, Saranskaya, Sokurskaya, Aktasskaya, Abayskaya, Kalinina, Kazakhstanskaya, Lenina, Naklonnaya, Shakhtinskaya, Tentekskaya",100,Kazakhstan,Underground,Coal,Operational,,,,49.8822,73.1108,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
ArcelorMittal,Kentobe,,100,Kazakhstan,"Open-pit, Underground",Iron Ore,Operational,,1983,2002,49.534397,75.879369,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
ArcelorMittal,Kryviy Rih,Novokrivorozhsky,95.13,Ukraine,"Open-pit, Underground",Iron Ore,Operational,,1933,2005,47.844293,33.310616,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
ArcelorMittal,Las Truchas,Lázaro Cárdenas,100,Mexico,Open-pit,Iron Ore,Operational,,1976,2006,18.063,-102.366,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
ArcelorMittal,Liberia,"Yekepa, Tokadeh, Gangra, Yuelliton, Western Range Project",85,Liberia,Open-pit,Iron Ore,Operational,,1976,2005,7.445263,-8.640882,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
ArcelorMittal,Lisakovsk,"Lisakovsky, Shaimerden, Termitau",100,Kazakhstan,"Open-pit, Underground",Iron Ore,Operational,,1916,1999,52.314,62.625,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
ArcelorMittal,Ljubija,,35.1,Bosnia and Herzegovina,Open-pit,Iron Ore,Operational,,1916,,44.87286,16.896959,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
ArcelorMittal,Mont-Wright,Mt Wright,85,Canada,Open-pit,Iron Ore,Operational,,1976,,52.354623,-67.366755,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
ArcelorMittal,Peña Colorada,Minatitlán,50,Mexico,Open-pit,Iron Ore,Operational,,1974,,19.382,-104.104,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
ArcelorMittal,Prijedor,"Omarska, Jezero, Buvac",51,Bosnia and Herzegovina,Open-pit,Iron Ore,Operational,,1983,2004,44.871,16.886,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
ArcelorMittal,Serra Azul,,100,Brazil,Open-pit,Iron Ore,Operational,,,,-20.113,-44.223,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
ArcelorMittal,Volcan Mines,"Sonora, El Volcan",100,Mexico,Open-pit,Iron Ore,"Not in operation (care and maintenance, or closure or post-closure management)",2019,,,27.738,-109.306,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
ArcelorMittal,XMV Mine No. 36,,100,USA,Underground,Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2009,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Banpu,Airly,,100,Australia,Underground,Coal,Operational,,2001,,-33.1,150.01,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Banpu,Angus Place,,100,Australia,Underground,Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2015,,2010,-33.353,150.1,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Banpu,Bharinto,,67.13,Indonesia,Open-pit,Coal,Operational,,2012,2012,-0.579451,115.704932,Yes,0,0,0,0,0,0,0,0
Banpu,Charbon,,95,Australia,"Open-pit, Underground",Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2015,,,-32.895,149.98,,0,0,0,0,0,0,0,0
Banpu,Chiang Muan,,100,Thailand,Open-pit,Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2008,,,19.1667,99.9,,0,0,0,0,0,0,0,0
Banpu,Clarence,,85,Australia,Underground,Coal,Operational,,,,-33.464007,150.246132,,0,0,0,0,0,0,0,0
Banpu,Gaohe,,45,China,Underground,Coal,Operational,,,,36.195,113.101942,Yes,0,0,0,0,0,0,0,0
Banpu,Hebi,,40,China,Underground,Coal,Operational,,,,36.029873,114.136633,,0,0,0,0,0,0,0,0
Banpu,Indominco,Mandiri,67.13,Indonesia,Open-pit,Coal,Operational,,1996,2001,-0.324895,117.327253,Yes,0,0,0,0,0,0,0,0
Banpu,Ivanhoe,,100,Australia,Open-pit,Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2012,,,-33.368154,150.047577,,0,0,0,0,0,0,0,0
Banpu,Jorong,,67.13,Indonesia,Open-pit,Coal,Operational,,1991,2007,-3.903954,115.027804,Yes,0,0,0,0,0,0,0,0
Banpu,Kitadin-Embalut,,67.13,Indonesia,Open-pit,Coal,Operational,,1978,2009,-0.323603,117.092331,Yes,0,0,0,0,0,0,0,0
Banpu,Kitadin-Tundung Mayang,,65.13,Indonesia,Open-pit,Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2015,,,-0.317803,117.090582,,0,0,0,0,0,0,0,0
Banpu,Lamberts Gully,,50,Australia,Open-pit,Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2010,,,-35.472587,147.922917,,0,0,0,0,0,0,0,0
Banpu,Lampang,,100,Thailand,Open-pit,Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2008,,,18.169663,99.348484,,0,0,0,0,0,0,0,0
Banpu,Mandalong,,100,Australia,Underground,Coal,Operational,,,,-33.119248,151.462359,Yes,0,0,0,0,0,0,0,0
Banpu,Myuna,,100,Australia,Underground,Coal,Operational,,,,-33.063,151.568,,0,0,0,0,0,0,0,0
Banpu,Newstan,,100,Australia,Underground,Coal,"Not in operation (care and maintenance, or closure or post-closure management)",2010,,,-32.9776,151.5732,,0,0,0,0,0,0,0,0
Banpu,Springvale,,100,Australia,Underground,Coal,Operational,,,,-33.404,150.106,,0,0,0,0,0,0,0,0
Banpu,Trubaindo,,67.13,Indonesia,Open-pit,Coal,Operational,,1990,2005,-1.011341,116.893193,Yes,0,0,0,0,0,0,0,0
Barrick,Bulyanhulu,"Reef Zero, Reef One, Reef Two",84,Tanzania,"Underground, Tailings Leach","Gold, Copper",Operational,,2001,2001,-3.233333,32.483333,Yes,0,0,0,0,0,0,0,0
Barrick,Buzwagi,,84,Tanzania,Open-pit,"Gold, Copper","Not in operation (care and maintenance, or closure or post-closure management)",2021,,,-3.852045,32.668754,,0,0,0,0,0,0,0,0
Barrick,Cortez (Barrick),"Pipeline, Cortez Hills, Nevada Gold Mines, Cortez Hills, Nevada Gold Mines, Nevada Gold Mines",61.5,USA,"Open-pit, Underground",Gold,Operational,,,,40.240816,-116.70935,,0,0,0,0,0,0,0,0
Barrick,David Bell,,100,Canada,Open-pit,Gold,"Not in operation (care and maintenance, or closure or post-closure management)",2010,,,48.692,-85.892,,0,0,0,0,0,0,0,0
Barrick,El Indio,,83,Chile,Open-pit,"Gold, Silver, Copper","Not in operation (care and maintenance, or closure or post-closure management)",2002,,,-29.77,-69.98,,0,0,0,0,0,0,0,0
Barrick,Golden Giant (Barrick),,100,Canada,Underground,Gold,"Not in operation (care and maintenance, or closure or post-closure management)",2014,,,48.6958,-85.8917,,0,0,0,0,0,0,0,0
Barrick,Golden Sunlight,Bull Mountain,100,USA,Open-pit,Gold,"Not in operation (care and maintenance, or closure or post-closure management)",2019,,,45.906,-112.022,,0,0,0,0,0,0,0,0
Barrick,Goldstrike-Carlin (Barrick),"Silverstar, Goldstar, Leeville, Chukar, Pete Bajo, Exodus, Capstone, Bootstrap, Genesis, Maggie Creek, Tusc, Carlin Trend, Gold Quarry, Betze-Post, Meikle, Rodeo, Nevada Gold Mines",61.5,USA,"Open-pit, Underground",Gold,Operational,,,,40.98,-116.377,,0,0,0,0,0,0,0,0
Barrick,Hemlo,Williams,100,Canada,"Open-pit, Underground",Gold,Operational,,,,48.664983,-86.279231,,0,0,0,0,0,0,0,0
Barrick,Homestake,,100,USA,Open-pit,Gold,"Not in operation (care and maintenance, or closure or post-closure management)",2020,,,44.362,-103.77,,0,0,0,0,0,0,0,0
Barrick,Jabal Sayid,,50,Saudi Arabia,Underground,"Copper, Gold, Silver",Operational,,,,23.852,40.939,Yes,0,0,0,0,0,0,0,0
Barrick,Kibali (Barrick),,45,DRC,"Open-pit, Underground",Gold,Operational,,,,3.114434,29.594179,,0,0,0,0,0,0,0,0
Barrick,Long Canyon (Barrick),Nevada Gold Mines,61.5,USA,Open-pit,Gold,Operational,,,,40.232147,-116.719272,,0,0,0,0,0,0,0,0
Barrick,Loulo-Gounkoto,,80,Mali,"Open-pit, Underground",Gold,Operational,,2005,,13.076,-11.41,Yes,0,0,0,0,0,0,0,0
Barrick,Lumwana,,100,Zambia,Open-pit,Copper,Operational,,2007,2011,-12.252112,25.86091,Yes,0,0,0,0,0,0,0,0
Barrick,McLaughlin,,100,USA,Open-pit,Gold,"Not in operation (care and maintenance, or closure or post-closure management)",2002,1985,,38.8358,-122.3569,,0,0,0,0,0,0,0,0
Barrick,North Mara,"Nyabirama, Gokona",84,Tanzania,"Open-pit, Underground",Gold,Operational,,2002,2006,-1.426667,34.5559,Yes,0,0,0,0,0,0,0,0
Barrick,Phoenix-Lone Tree (Barrick),Nevada Gold Mines,61.5,USA,Open-pit,"Gold, Copper",Operational,,,,40.533,-117.123,,0,0,0,0,0,0,0,0
Barrick,Pierina,,100,Peru,Open-pit,Gold,"Not in operation (care and maintenance, or closure or post-closure management)",2014,,,-9.458957,-77.587987,,0,0,0,0,0,0,0,0
Barrick,Porgera (Barrick),波格拉金矿,47.5,Papua New Guinea,"Open-pit, Underground","Gold, Silver","Not in operation (care and maintenance, or closure or post-closure management)",2020,1988,2006,-5.470837,143.101228,,0,0,0,0,0,0,0,0
Barrick,Pueblo Viejo (Barrick),,60,Dominican Republic,Open-pit,"Silver, Gold, Copper",Operational,,2013,2013,18.934927,-70.174019,Yes,0,0,0,0,0,0,0,0
Barrick,South Arturo (Barrick),"Dee, Storm",61.5,USA,"Open-pit, Underground",Gold,Operational,,,,41.037,-116.427,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Barrick,Tambo,,83,Chile,Open-pit,Gold,"Not in operation (care and maintenance, or closure or post-closure management)",1999,,,-29.7683,-70.0667,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Barrick,Tongon,,89.7,Côte d'Ivoire,Open-pit,Gold,Operational,,,,9.934652,-5.704743,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Barrick,Turquoise Ridge-Twin Creeks (Barrick),"Getchell, Nevada Gold Mines",61.5,USA,"Open-pit, Underground",Gold,Operational,,,,41.25,-117.15,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Barrick,Veladero,,50,Argentina,Open-pit,"Gold, Silver",Operational,,,,-30.011593,-69.910603,Yes,0,0,0,0,0,0,0,0
Barrick,Zaldívar (Barrick),,50,Chile,Open-pit,Copper,Operational,,1995,2006,-24.214008,-69.067307,Yes,0,0,0,0,0,0,0,0
BHP,Ambrosia Lake,,100,USA,Underground,Uranium Oxide,"Not in operation (care and maintenance, or closure or post-closure management)",1999,,,35.40047,-107.827065,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
BHP,Antamina (BHP),,33.75,Peru,Open-pit,"Copper, Zinc, Molybdenum, Lead, Silver, Bismuth",Operational,,2001,1998,-9.556888,-77.042871,Yes,0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
BHP,Area C,"Mt Goldsworthy, Western Australia Iron Ore, WAIO",85,Australia,Open-pit,Iron Ore,Operational,,2003,,-22.923,118.962,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
BHP,Beenup,,100,Australia,Open-pit,Titanium,"Not in operation (care and maintenance, or closure or post-closure management)",1999,,,-34.22,115.26,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
BHP,Blackwater,"Queensland Coal, Central Queensland Coal Associates, BMA",50,Australia,Open-pit,Coal,Operational,,1967,,-23.682,148.807,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
BHP,Broadmeadow,"Queensland Coal, Central Queensland Coal Associates, BMA",50,Australia,Underground,Coal,Operational,,2005,,-21.8077,148.146906,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
BHP,Carson Hill,,100,USA,"Open-pit, Tailings Leach",Gold,"Not in operation (care and maintenance, or closure or post-closure management)",1990,,,38.0272,-120.5033,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
BHP,Caval Ridge,"Queensland Coal, Central Queensland Coal Associates, BMA",50,Australia,Open-pit,Coal,Operational,,2014,,-22.12,148.055,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
BHP,Cerrejón (BHP),,33.33,Colombia,Open-pit,Coal,Operational,,1985,2000,11.03245,-72.665557,Yes,0,0,0,Not Specified,0,0,0,Not Specified
BHP,Cerro Colorado,Pampa Norte,100,Chile,Open-pit,Copper,Operational,,1994,2000,-20.066389,-69.271219,Yes,0,0,0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
