company,year,category,value
Grupo México,2018,Total Worker Fatalities,1
Grupo México,2018,Employee Fatalities,0
Grupo México,2018,Contract Worker Fatalities,1
Grupo México,2018,Other Fatalities,Not Reported
Industrias Peñoles,2017,Total Worker Fatalities,4
Industrias Peñoles,2017,Employee Fatalities,Not Reported
Industrias Peñoles,2017,Contract Worker Fatalities,Not Reported
Industrias Peñoles,2017,Other Fatalities,Not Reported
Industrias Peñoles,2018,Total Worker Fatalities,8
Industrias Peñoles,2018,Employee Fatalities,Not Reported
Industrias Peñoles,2018,Contract Worker Fatalities,Not Reported
Industrias Peñoles,2018,Other Fatalities,Not Reported
MMG,2017,Total Worker Fatalities,1
MMG,2017,Employee Fatalities,1
MMG,2017,Contract Worker Fatalities,0
MMG,2017,Other Fatalities,2
MMG,2018,Total Worker Fatalities,1
MMG,2018,Employee Fatalities,1
MMG,2018,Contract Worker Fatalities,0
MMG,2018,Other Fatalities,3
Navoi MMC,2017,Total Worker Fatalities,Not Reported
Navoi MMC,2017,Employee Fatalities,Not Reported
Navoi MMC,2017,Contract Worker Fatalities,Not Reported
Navoi MMC,2017,Other Fatalities,Not Reported
Navoi MMC,2018,Total Worker Fatalities,Not Reported
Navoi MMC,2018,Employee Fatalities,Not Reported
Navoi MMC,2018,Contract Worker Fatalities,Not Reported
Navoi MMC,2018,Other Fatalities,Not Reported
Newcrest Mining,2017,Total Worker Fatalities,0
Newcrest Mining,2017,Employee Fatalities,Not Reported
Newcrest Mining,2017,Contract Worker Fatalities,Not Reported
Newcrest Mining,2017,Other Fatalities,Not Reported
Newcrest Mining,2018,Total Worker Fatalities,0
Newcrest Mining,2018,Employee Fatalities,Not Reported
Newcrest Mining,2018,Contract Worker Fatalities,Not Reported
Newcrest Mining,2018,Other Fatalities,Not Reported
Newmont,2017,Total Worker Fatalities,0
Newmont,2017,Employee Fatalities,Not Reported
Newmont,2017,Contract Worker Fatalities,Not Reported
Newmont,2017,Other Fatalities,Not Reported
Newmont,2018,Total Worker Fatalities,7
Newmont,2018,Employee Fatalities,Not Reported
Newmont,2018,Contract Worker Fatalities,Not Reported
Newmont,2018,Other Fatalities,Not Reported
NMDC,2017,Total Worker Fatalities,0
NMDC,2017,Employee Fatalities,Not Reported
NMDC,2017,Contract Worker Fatalities,Not Reported
NMDC,2017,Other Fatalities,Not Reported
NMDC,2018,Total Worker Fatalities,0
NMDC,2018,Employee Fatalities,Not Reported
NMDC,2018,Contract Worker Fatalities,Not Reported
NMDC,2018,Other Fatalities,Not Reported
Nordgold,2017,Total Worker Fatalities,4
Nordgold,2017,Employee Fatalities,Not Reported
Nordgold,2017,Contract Worker Fatalities,Not Reported
Nordgold,2017,Other Fatalities,Not Reported
Nordgold,2018,Total Worker Fatalities,4
Nordgold,2018,Employee Fatalities,2
Nordgold,2018,Contract Worker Fatalities,2
Nordgold,2018,Other Fatalities,Not Reported
Orano,2017,Total Worker Fatalities,2
Orano,2017,Employee Fatalities,1
Orano,2017,Contract Worker Fatalities,1
Orano,2017,Other Fatalities,0
Orano,2018,Total Worker Fatalities,0
Orano,2018,Employee Fatalities,0
Orano,2018,Contract Worker Fatalities,0
Orano,2018,Other Fatalities,0
Peabody Energy,2017,Total Worker Fatalities,0
Peabody Energy,2017,Employee Fatalities,Not Reported
Peabody Energy,2017,Contract Worker Fatalities,Not Reported
Peabody Energy,2017,Other Fatalities,Not Reported
Peabody Energy,2018,Total Worker Fatalities,1
Peabody Energy,2018,Employee Fatalities,Not Reported
Peabody Energy,2018,Contract Worker Fatalities,Not Reported
Peabody Energy,2018,Other Fatalities,Not Reported
Polymetal,2017,Total Worker Fatalities,2
Polymetal,2017,Employee Fatalities,1
Polymetal,2017,Contract Worker Fatalities,1
Polymetal,2017,Other Fatalities,Not Reported
Polymetal,2018,Total Worker Fatalities,1
Polymetal,2018,Employee Fatalities,1
Polymetal,2018,Contract Worker Fatalities,0
Polymetal,2018,Other Fatalities,Not Reported
Rio Tinto,2017,Total Worker Fatalities,5
Rio Tinto,2017,Employee Fatalities,Not Reported
