name,country,company,percent_shares
"Advisor Partners, LLC",USA,Barrick Gold Corp,<0.01%
BMO Capital Markets (US),USA,Barrick Gold Corp,<0.01%
"Sipos, Katherine",Unknown,Barrick Gold Corp,<0.01%
"K. J. Harrison & Partners, Inc.",Canada,Barrick Gold Corp,<0.01%
Exane Derivatives,France,Barrick Gold Corp,<0.01%
Amistra SGIIC S.A.,Spain,Barrick Gold Corp,<0.01%
"Schneider, Walter & Kollegen Vermögensverwaltung AG",Germany,Barrick Gold Corp,<0.01%
USAA Investment Management Company,USA,Barrick Gold Corp,<0.01%
SunTrust Bank,USA,Barrick Gold Corp,<0.01%
"Asahi Life Asset Management Co., Ltd.",Japan,Barrick Gold Corp,<0.01%
Investors Research Corporation,USA,Barrick Gold Corp,<0.01%
BG Fund Management Luxembourg S.A.,Luxembourg,Barrick Gold Corp,<0.01%
"Samsung Asset Management Co., Ltd.",South Korea,Barrick Gold Corp,<0.01%
Clow (Graham G),Canada,Barrick Gold Corp,<0.01%
CBH Compagnie Bancaire Helvétique SA,Switzerland,Barrick Gold Corp,<0.01%
"Cerebellum Capital, LLC",USA,Barrick Gold Corp,<0.01%
Pinnacle Associates Ltd.,USA,Barrick Gold Corp,<0.01%
Charteris Treasury Portfolio Managers Limited,UK,Barrick Gold Corp,<0.01%
Quint:Essence Capital S.A.,Luxembourg,Barrick Gold Corp,<0.01%
Neuburgh Advisers LLC,USA,Barrick Gold Corp,<0.01%
Goldman Sachs Bank AG,Switzerland,Barrick Gold Corp,<0.01%
"Creative Planning, Inc.",USA,Barrick Gold Corp,<0.01%
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",Japan,Barrick Gold Corp,<0.01%
Clean Yield Asset Management,USA,Barrick Gold Corp,<0.01%
Daiwa Asset Management (Singapore) Ltd.,Singapore,Barrick Gold Corp,<0.01%
"Trillium Asset Management, LLC",USA,Barrick Gold Corp,<0.01%
"Wells Fargo Bank, N.A.",USA,Barrick Gold Corp,<0.01%
Azimut Capital Management Sgr SpA,Italy,Barrick Gold Corp,<0.01%
GAM International Management Ltd.,UK,Barrick Gold Corp,<0.01%
Miton Asset Management Limited,UK,Barrick Gold Corp,<0.01%
FLASKAMP Invest S.A.,Luxembourg,Barrick Gold Corp,<0.01%
"Counsel Portfolio Services, Inc.",Canada,Barrick Gold Corp,<0.01%
Argent Trust Company,USA,Barrick Gold Corp,<0.01%
Quadrant Family Wealth Advisors,USA,Barrick Gold Corp,<0.01%
Enhanced Investment Products Limited,Hong Kong,Barrick Gold Corp,<0.01%
Bovay & Partenaires SA,Switzerland,Barrick Gold Corp,<0.01%
"Erwin Bauer - Unabhängige Finanzplanung, Investmentfonds",Germany,Barrick Gold Corp,<0.01%
LIFT Investment Advisors EAFI,Spain,Barrick Gold Corp,<0.01%
Marcet (Pablo),Canada,Barrick Gold Corp,<0.01%
Matrix Capital Management Trust reg.,Liechtenstein,Barrick Gold Corp,<0.01%
Oldenburgische Landesbank AG,Germany,Barrick Gold Corp,<0.01%
Silver Lake Advisory,USA,Barrick Gold Corp,<0.01%
Manulife Investment Management (Europe) Limited,UK,Barrick Gold Corp,<0.01%
ASVK Asset Management GmbH,Germany,Barrick Gold Corp,<0.01%
Julius Baer Portfolio Managers Limited,UK,Barrick Gold Corp,<0.01%
D.A. Davidson & Co.,USA,Barrick Gold Corp,<0.01%
"Esfera Capital Gestion SGIIC, S.A.",Spain,Barrick Gold Corp,<0.01%
MLC Asset Management,Australia,Barrick Gold Corp,<0.01%
"Bel Air Investment Advisors, LLC",USA,Barrick Gold Corp,<0.01%
Old Mission Capital LLC,USA,Barrick Gold Corp,<0.01%
"United Capital Financial Advisers, LLC",USA,Barrick Gold Corp,<0.01%
Ofi Asset Management,France,Barrick Gold Corp,<0.01%
Flinton Capital Management LLC,USA,Barrick Gold Corp,<0.01%
"William Blair & Company, L.L.C. (Research)",USA,Barrick Gold Corp,<0.01%
BEA Union Investment Management Limited,Hong Kong,Barrick Gold Corp,<0.01%
"Boothbay Fund Management, LLC",USA,Barrick Gold Corp,<0.01%
Raymond James Trust N.A.,USA,Barrick Gold Corp,<0.01%
"QS Investors, LLC",USA,Barrick Gold Corp,<0.01%
InsingerGilissen Bankiers N.V.,Netherlands,Barrick Gold Corp,<0.01%
"CIGNA Investments, Inc.",USA,Barrick Gold Corp,<0.01%
USCA RIA LLC,USA,Barrick Gold Corp,<0.01%
Incrementum AG,Liechtenstein,Barrick Gold Corp,<0.01%
"Signaturefd, LLC",USA,Barrick Gold Corp,<0.01%
FIL Investment Management (Australia) Limited,Australia,Barrick Gold Corp,<0.01%
Regarding Capital Management (Pty) Ltd.,South Africa,Barrick Gold Corp,<0.01%
Brown Advisory,USA,Barrick Gold Corp,<0.01%
"Evergreen Capital Management, LLC",USA,Barrick Gold Corp,<0.01%
"Fruth Investment Management, Inc.",USA,Barrick Gold Corp,<0.01%
"F & V Capital Management, L.L.C.",USA,Barrick Gold Corp,<0.01%
"Marsico Capital Management, L.L.C.",USA,Barrick Gold Corp,<0.01%
Quantitative Systematic Strategies LLC,USA,Barrick Gold Corp,<0.01%
Hedge Invest S.G.R.p.A,Italy,Barrick Gold Corp,<0.01%
"Telemetry Investments, L.L.C.",USA,Barrick Gold Corp,<0.01%
Winton Capital Management Ltd.,UK,Barrick Gold Corp,<0.01%
Citibank (Switzerland) AG,Switzerland,Barrick Gold Corp,<0.01%
MC vermögensmanagement AG,Liechtenstein,Barrick Gold Corp,<0.01%
Cetera Advisor Networks LLC,USA,Barrick Gold Corp,<0.01%
CMT Capital Markets Trading GmbH,USA,Barrick Gold Corp,<0.01%
Value Asset Management GmbH,Germany,Barrick Gold Corp,<0.01%
Bishop Street Capital Management Corp,USA,Barrick Gold Corp,<0.01%
JPMorgan Securities LLC,USA,Barrick Gold Corp,<0.01%
KeyBanc Capital Markets,USA,Barrick Gold Corp,<0.01%
Morgan Stanley Investment Management Inc. (US),USA,Barrick Gold Corp,<0.01%
Schonfeld Strategic Advisors LLC,USA,Barrick Gold Corp,<0.01%
"The Bollard Group, LLC",USA,Barrick Gold Corp,<0.01%
"Stonehage Fleming Financial Services Holdings, Ltd.",USA,Barrick Gold Corp,<0.01%
"Brookstone Capital Management, LLC",USA,Barrick Gold Corp,<0.01%
Tyers Asset Management LLC,USA,Barrick Gold Corp,<0.01%
"Windsor Creek Advisors, LLC",USA,Barrick Gold Corp,<0.01%
"Engineers Gate Manager, L.P.",USA,Barrick Gold Corp,<0.01%
"Sumitomo Mitsui DS Asset Management Company, Limited",Japan,Barrick Gold Corp,<0.01%
Lyxor Asset Management,France,Barrick Gold Corp,<0.01%
Eaton Vance Management,USA,Barrick Gold Corp,<0.01%
"Pension Partners, LLC",USA,Barrick Gold Corp,<0.01%
"Advisory Services Network, LLC",USA,Barrick Gold Corp,<0.01%
Compass Asset Management SA,Switzerland,Barrick Gold Corp,<0.01%
"Gesiuris Asset Management S.G.I.I.C., S.A.",Spain,Barrick Gold Corp,<0.01%
Royal Trust Corporation of Canada,Canada,Barrick Gold Corp,<0.01%
AHL Partners LLP,UK,Barrick Gold Corp,<0.01%
"Stratos Wealth Partners, Ltd.",USA,Barrick Gold Corp,<0.01%
Old Mutual Customised Solutions (Pty) Ltd,South Africa,Barrick Gold Corp,<0.01%
Middlefield Capital Corporation,Canada,Barrick Gold Corp,<0.01%
Premium Strategy Partners AG,Switzerland,Barrick Gold Corp,<0.01%
"JKO Asset Management Co., Ltd.",Taiwan,Barrick Gold Corp,<0.01%
Valiant Bank AG,Switzerland,Barrick Gold Corp,<0.01%
Lemanik Asset Management S.A.,Luxembourg,Barrick Gold Corp,<0.01%
Merian Global Investors (UK) Limited,UK,Barrick Gold Corp,<0.01%
"Pacer Advisors, Inc.",USA,Barrick Gold Corp,<0.01%
Covington Capital Management,USA,Barrick Gold Corp,<0.01%
"Ostrum Asset Management U.S., LLC",USA,Barrick Gold Corp,<0.01%
Meiji Yasuda Asset Management Company Ltd.,Japan,Barrick Gold Corp,<0.01%
LLB Swiss Investment AG,Switzerland,Barrick Gold Corp,<0.01%
RBC Private Counsel (USA) Inc.,Canada,Barrick Gold Corp,<0.01%
"Horizon Investment Services, LLC",USA,Barrick Gold Corp,<0.01%
"Kore Private Wealth, LLC",USA,Barrick Gold Corp,<0.01%
"Brave Asset Management, Inc.",USA,Barrick Gold Corp,<0.01%
"Cutler Group, LP",USA,Barrick Gold Corp,<0.01%
KB-Vermögensverwaltung GmbH,Germany,Barrick Gold Corp,<0.01%
Walleye Trading Advisors LLC,USA,Barrick Gold Corp,<0.01%
Neuberger Berman Breton Hill ULC,Canada,Barrick Gold Corp,<0.01%
UBS Asset Management (Switzerland),Switzerland,Barrick Gold Corp,<0.01%
Enterprise Financial Services Corp.,USA,Barrick Gold Corp,<0.01%
"Ausdal Financial Partners, Inc.",USA,Barrick Gold Corp,<0.01%
"Financial Sense Advisors, Inc.",USA,Barrick Gold Corp,<0.01%
"Coastal Investment Advisors, Inc.",USA,Barrick Gold Corp,<0.01%
MK LUXINVEST S.A.,Luxembourg,Barrick Gold Corp,<0.01%
URALSIB Asset Management_NLE,Russian Federation,Barrick Gold Corp,<0.01%
URALSIB Management Company,Russian Federation,Barrick Gold Corp,<0.01%
Sparinvest S.A.,Luxembourg,Barrick Gold Corp,<0.01%
Riverhead Capital Management LLC,USA,Barrick Gold Corp,<0.01%
GWM Advisors LLC,USA,Barrick Gold Corp,<0.01%
BlueCrest Capital Management LLP,Guernsey,Barrick Gold Corp,<0.01%
Cisneros (Gustavo Alfredo),USA,Barrick Gold Corp,<0.01%
"Mutual Advisors, LLC",USA,Barrick Gold Corp,<0.01%
"Paradigm Financial Advisors, LLC",USA,Barrick Gold Corp,<0.01%
The Pennsylvania Trust Company,USA,Barrick Gold Corp,<0.01%
JPMorgan Asset Management (Japan) Limited,Japan,Barrick Gold Corp,<0.01%
"Level Four Advisory Services, LLC",USA,Barrick Gold Corp,<0.01%
Pembroke Management Ltd.,Canada,Barrick Gold Corp,<0.01%
Security Kapitalanlage AG,Austria,Barrick Gold Corp,<0.01%
Glen Harbor Capital Management LLC,USA,Barrick Gold Corp,<0.01%
"Checchi Capital Advisers, LLC",USA,Barrick Gold Corp,<0.01%
"First Allied Asset Management, Inc.",USA,Barrick Gold Corp,<0.01%
Harvest Portfolios Group Inc,Canada,Barrick Gold Corp,<0.01%
Addison Capital Co.,USA,Barrick Gold Corp,<0.01%
Marathon Capital Management,USA,Barrick Gold Corp,<0.01%
"Private Vista, LLC",USA,Barrick Gold Corp,<0.01%
Stabilitas GmbH,Germany,Barrick Gold Corp,<0.01%
"JPMorgan Investment Management, Inc. (SI)",Singapore,Barrick Gold Corp,<0.01%
Guardian Capital Advisors LP,Canada,Barrick Gold Corp,<0.01%
State Street Global Advisors Australia Ltd.,Australia,Barrick Gold Corp,<0.01%
Signal Iduna Asset Management GmbH,Germany,Barrick Gold Corp,<0.01%
Perspective Investment Management (Pty) Ltd,South Africa,Barrick Gold Corp,<0.01%
"Syntal Capital Partners, LLC",USA,Barrick Gold Corp,<0.01%
"BlackRock Investment Management, LLC",USA,Barrick Gold Corp,<0.01%
Mediobanca SGR S.p.A.,Italy,Barrick Gold Corp,<0.01%
Generali Insurance Asset Management S.p.A. SGR,Italy,Barrick Gold Corp,<0.01%
PanAgora Asset Management Inc.,USA,Barrick Gold Corp,<0.01%
Etoile Gestion S.A.,France,Barrick Gold Corp,<0.01%
"Meeschaert Asset Management, S.A.S.",France,Barrick Gold Corp,<0.01%
DBX Advisors LLC.,USA,Barrick Gold Corp,<0.01%
Swiss Life Asset Management,Switzerland,Barrick Gold Corp,<0.01%
Independent Financial Partners,USA,Barrick Gold Corp,<0.01%
"Degroof Petercam SGIIC, S.A.",Spain,Barrick Gold Corp,<0.01%
Element Investment Managers (Pty) Ltd,South Africa,Barrick Gold Corp,<0.01%
"ClearArc Capital, Inc.",USA,Barrick Gold Corp,<0.01%
Abalone Asset Management Ltd.,Malta,Barrick Gold Corp,<0.01%
Oddo BHF Asset Management GmbH,Germany,Barrick Gold Corp,<0.01%
Egeria Activos SGIIC S.A.U,Spain,Barrick Gold Corp,<0.01%
"Mizuho Securities Co., Ltd.",Japan,Barrick Gold Corp,<0.01%
Faircourt Asset Management Inc.,Canada,Barrick Gold Corp,<0.01%
"Gesalcalá S.G.I.I.C., S.A.",Spain,Barrick Gold Corp,<0.01%
Crossinvest SA,Switzerland,Barrick Gold Corp,<0.01%
INVESCO Asset Management (Japan) Ltd.,Japan,Barrick Gold Corp,<0.01%
Strathbridge Asset Management Inc.,Canada,Barrick Gold Corp,<0.01%
Lån & Spar Bank A/S,Denmark,Barrick Gold Corp,<0.01%
"ATL 12 Capital Gestión SGIIC, S.A.",Spain,Barrick Gold Corp,<0.01%
Exane Asset Management,France,Barrick Gold Corp,<0.01%
"City National Rochdale, LLC",USA,Barrick Gold Corp,<0.01%
"Agincourt Capital Management, L.L.C.",USA,Barrick Gold Corp,<0.01%
Harris Associates L.P.,USA,Barrick Gold Corp,<0.01%
"Advisors Preferred, LLC",USA,Barrick Gold Corp,<0.01%
"Flexible Plan Investments, Ltd.",USA,Barrick Gold Corp,<0.01%
Central Trust & Investment Company,USA,Barrick Gold Corp,<0.01%
"Prelude Capital Management, LLC",USA,Barrick Gold Corp,<0.01%
Robert Cowen Investments (Pty) Ltd.,South Africa,Barrick Gold Corp,<0.01%
Lange Assets & Consulting GmbH,Germany,Barrick Gold Corp,<0.01%
ACATIS Investment Kapitalverwaltungsgesellschaft GmbH,Germany,Barrick Gold Corp,<0.01%
Fideuram Asset Management (Ireland) dac,Ireland,Barrick Gold Corp,<0.01%
BlackRock Asset Management North Asia Limited,Hong Kong,Barrick Gold Corp,<0.01%
HSBC Global Asset Management (Hong Kong) Limited,Hong Kong,Barrick Gold Corp,<0.01%
Cantab Capital Partners LLP,UK,Barrick Gold Corp,<0.01%
"Jacobi Capital Management, LLC",USA,Barrick Gold Corp,<0.01%
Edge Wealth Management LLC,USA,Barrick Gold Corp,<0.01%
Cohen & Steers UK Limited,UK,Barrick Gold Corp,<0.01%
"Benjamin F. Edwards & Company, Inc.",USA,Barrick Gold Corp,<0.01%
Glenmede Investment Management LP,USA,Barrick Gold Corp,<0.01%
Degroof Petercam Asset Services SA,Luxembourg,Barrick Gold Corp,<0.01%
BNP Paribas Investment Partners España SA SGIIC,Spain,Barrick Gold Corp,<0.01%
Majestic Asset Management LLC,Canada,Barrick Gold Corp,<0.01%
MRB Vermögensverwaltungs AG,Switzerland,Barrick Gold Corp,<0.01%
"Comerica, Inc.",USA,Barrick Gold Corp,<0.01%
"Shine Investment Advisory Services, Inc.",USA,Barrick Gold Corp,<0.01%
CA Indosuez (Switzerland) S.A.,Switzerland,Barrick Gold Corp,<0.01%
"Wilmington Trust, National Association",USA,Barrick Gold Corp,<0.01%
Nomura Asset Management (UK) Ltd.,UK,Barrick Gold Corp,<0.01%
BMO Harris Bank N.A.,USA,Barrick Gold Corp,<0.01%
Insiderfonder AB,Sweden,Barrick Gold Corp,<0.01%
"Parallel Advisors, LLC",USA,Barrick Gold Corp,<0.01%
Sal. Oppenheim jr. & Cie. AG & Co. KGaA (Asset Management),Germany,Barrick Gold Corp,<0.01%
"Lindbrook Capital, LLC",USA,Barrick Gold Corp,<0.01%
LähiTapiola Varainhoito Oy,Finland,Barrick Gold Corp,<0.01%
Hatter (Patricia Ann),Canada,Barrick Gold Corp,<0.01%
"Century Securities Associates, Inc.",USA,Barrick Gold Corp,<0.01%
AXA Rosenberg Investment Management LLC,USA,Barrick Gold Corp,<0.01%
Portland Investment Counsel Inc.,Canada,Barrick Gold Corp,<0.01%
Berner Kantonalbank AG,Switzerland,Barrick Gold Corp,<0.01%
Warburg Invest AG,Germany,Barrick Gold Corp,<0.01%
Close Brothers Asset Management,UK,Barrick Gold Corp,<0.01%
"Gables Capital Management, Inc.",USA,Barrick Gold Corp,<0.01%
"Hudock Capital Group, LLC",USA,Barrick Gold Corp,<0.01%
BFC Fund Management AG,Liechtenstein,Barrick Gold Corp,<0.01%
Flagship Harbor Advisors LLC,USA,Barrick Gold Corp,<0.01%
"Steward Partners Investment Advisory, LLC",USA,Barrick Gold Corp,<0.01%
"DUX Inversores, SGIIC, S.A.",Spain,Barrick Gold Corp,<0.01%
"Zions Capital Advisors, Inc.",USA,Barrick Gold Corp,<0.01%
"Capital Investment Advisory Services, LLC",USA,Barrick Gold Corp,<0.01%
Alior Towarzystwo Funduszy Inwestycyjnych S.A.,Poland,Barrick Gold Corp,<0.01%
Huntington Private Financial Group,USA,Barrick Gold Corp,<0.01%
First Manhattan Company,USA,Barrick Gold Corp,<0.01%
JNBA Financial Advisors Inc.,USA,Barrick Gold Corp,<0.01%
"UBS Asset Management (Americas), Inc.",USA,Barrick Gold Corp,<0.01%
"Research Affiliates, LLC",USA,Barrick Gold Corp,<0.01%
Oakworth Capital Bank,USA,Barrick Gold Corp,<0.01%
"Wyss & Partner, Vermögensverwaltung und Anlageberatung AG",Switzerland,Barrick Gold Corp,<0.01%
Wellington International Management Company Pte. Ltd.,Singapore,Barrick Gold Corp,<0.01%
Balentine LLC,USA,Barrick Gold Corp,<0.01%
ANDBANK Asset Management Luxembourg SA,Luxembourg,Barrick Gold Corp,<0.01%
W & W Asset Management GmbH,Germany,Barrick Gold Corp,<0.01%
"Resona Bank, Ltd.",Japan,Barrick Gold Corp,<0.01%
"Reilly Financial Advisors, LLC",USA,Barrick Gold Corp,<0.01%
Cambiar Investors LLC,USA,Barrick Gold Corp,<0.01%
First Interstate Bank,USA,Barrick Gold Corp,<0.01%
GPA Portfolio Management AG,Switzerland,Barrick Gold Corp,<0.01%
"Hirtle, Callaghan & Co., LLC",USA,Barrick Gold Corp,<0.01%
"McIlrath & Eck, LLC",USA,Barrick Gold Corp,<0.01%
"Assetmark, Inc.",USA,Barrick Gold Corp,<0.01%
Pacifica Partners Inc.,Canada,Barrick Gold Corp,<0.01%
First Financial Corp,USA,Barrick Gold Corp,<0.01%
CENSEO Vermögensverwaltung GesmbH,Austria,Barrick Gold Corp,<0.01%
"Bank of China Investment Management Co., Ltd.",China,Barrick Gold Corp,<0.01%
"Thrivent Asset Management, LLC",USA,Barrick Gold Corp,<0.01%
Carson Wealth Management Group,USA,Barrick Gold Corp,<0.01%
Noble Funds Towarzystwo Funduszy Inwestycyjnych S.A.,Poland,Barrick Gold Corp,<0.01%
Sowell Management Services,USA,Barrick Gold Corp,<0.01%
UBS Asset Management (Australia) Ltd.,Australia,Barrick Gold Corp,<0.01%
"Lenox Wealth Management, Inc.",USA,Barrick Gold Corp,<0.01%
Basellandschaftliche Kantonalbank,Switzerland,Barrick Gold Corp,<0.01%
Gold Coin Invest AG,Switzerland,Barrick Gold Corp,<0.01%
Pacific Mutual Fund Bhd.,Malaysia,Barrick Gold Corp,<0.01%
Valeo Financial Advisors LLC,USA,Barrick Gold Corp,<0.01%
Creative Financial Group Ltd.,USA,Barrick Gold Corp,<0.01%
Accuro Asset Management AG,Switzerland,Barrick Gold Corp,<0.01%
"Potkul Capital Management, LLC",USA,Barrick Gold Corp,<0.01%
Franklin Equity Group,USA,Barrick Gold Corp,<0.01%
"Bessemer Trust Company, N.A. (US)",USA,Barrick Gold Corp,<0.01%
Whittier Trust Company,USA,Barrick Gold Corp,<0.01%
CI Investments Inc.,Canada,Barrick Gold Corp,<0.01%
"FTB Advisors, Inc.",USA,Barrick Gold Corp,<0.01%
"Carroll Financial Associates, Inc.",USA,Barrick Gold Corp,<0.01%
AdvisorNet Wealth Management,USA,Barrick Gold Corp,<0.01%
GenCap Portfolio Management,USA,Barrick Gold Corp,<0.01%
Schoellerbank Invest AG,Austria,Barrick Gold Corp,<0.01%
"Joseph P. Lucia & Associates, LLC",USA,Barrick Gold Corp,<0.01%
"Plante Moran Financial Advisors, LLC",USA,Barrick Gold Corp,<0.01%
Vontobel Asset Management S.A. - Niederlassung München,Germany,Barrick Gold Corp,<0.01%
"Thompson, Davis & Co., Inc. (Asset Management)",USA,Barrick Gold Corp,<0.01%
"BerganKDV Wealth Management, LLC",USA,Barrick Gold Corp,<0.01%
"Legacy Bridge, LLC",USA,Barrick Gold Corp,<0.01%
"Sumitomo Mitsui Trust Asset Management Co., Ltd.",Japan,Barrick Gold Corp,<0.01%
"Vident Investment Advisory, LLC",USA,Barrick Gold Corp,<0.01%
"FinTrust Capital Advisors, LLC",USA,Barrick Gold Corp,<0.01%
"Synovus Trust Company, N.A.",USA,Barrick Gold Corp,<0.01%
"Asset Dedication, LLC",USA,Barrick Gold Corp,<0.01%
"Citizens Financial Group, Inc.",USA,Barrick Gold Corp,<0.01%
T. Rowe Price International (UK) Ltd.,UK,Barrick Gold Corp,<0.01%
"Tradewinds Capital Management, LLC",USA,Barrick Gold Corp,<0.01%
"Squar Milner Financial Services, L.L.C.",USA,Barrick Gold Corp,<0.01%
North Star Investment Management Corporation,USA,Barrick Gold Corp,<0.01%
The Trust Company of Vermont,USA,Barrick Gold Corp,<0.01%
"HSBC Bank USA, N.A.",USA,Barrick Gold Corp,<0.01%
TT International,UK,Barrick Gold Corp,<0.01%
"Rock Creek Group, L.P.",USA,Barrick Gold Corp,<0.01%
Aberdeen Standard Capital Limited,UK,Barrick Gold Corp,<0.01%
"Sonora Investment Management, LLC",USA,Barrick Gold Corp,<0.01%
IST Investmentstiftung,Switzerland,Barrick Gold Corp,<0.01%
Pinnacle Bank,USA,Barrick Gold Corp,<0.01%
"Semmax Financial Advisors, Inc.",USA,Barrick Gold Corp,<0.01%
Willingdon Wealth Management Inc.,USA,Barrick Gold Corp,<0.01%
Wealthcare Advisory Partners LLC,USA,Barrick Gold Corp,<0.01%
FIL Investments (Japan) Limited,Japan,Barrick Gold Corp,<0.01%
Sandy Spring Bank,USA,Barrick Gold Corp,<0.01%
"Global Retirement Partners, LLC",USA,Barrick Gold Corp,<0.01%
Nomura Asset Management Singapore Ltd.,Singapore,Barrick Gold Corp,<0.01%
"Meeder Asset Management, Inc",USA,Barrick Gold Corp,<0.01%
Schroders Private Bank,UK,Barrick Gold Corp,<0.01%
"Berman Capital Advisors, LLC",USA,Barrick Gold Corp,<0.01%
Gradient Investments LLC,USA,Barrick Gold Corp,<0.01%
"Horrell Capital Management, Inc.",USA,Barrick Gold Corp,<0.01%
Hérens Quality Asset Management AG,Switzerland,Barrick Gold Corp,<0.01%
"JFS Wealth Advisors, LLC",USA,Barrick Gold Corp,<0.01%
"Evoke Wealth, LLC",USA,Barrick Gold Corp,<0.01%
Graubündner Kantonalbank,Switzerland,Barrick Gold Corp,<0.01%
"Ellevest, Inc.",USA,Barrick Gold Corp,<0.01%
"Ellis Investment Partners, LLC",USA,Barrick Gold Corp,<0.01%
First State Investments (U.K.) Ltd,UK,Barrick Gold Corp,<0.01%
"Pin Oak Investment Advisors, Inc.",USA,Barrick Gold Corp,<0.01%
MOTCO,USA,Barrick Gold Corp,<0.01%
QCI Asset Management Inc.,USA,Barrick Gold Corp,<0.01%
JPMorgan Private Bank (United States),USA,Barrick Gold Corp,<0.01%
"Mark Sheptoff Financial Planning, LLC",USA,Barrick Gold Corp,<0.01%
"Quad-Cities Investment Group, LLC",USA,Barrick Gold Corp,<0.01%
"Stonebridge Capital Advisors, LLC",USA,Barrick Gold Corp,<0.01%
"WealthTrust-Arizona, LLC",USA,Barrick Gold Corp,<0.01%
FIL Investment Management (Hong Kong) Limited,Hong Kong,Barrick Gold Corp,<0.01%
Rockefeller Financial,USA,Barrick Gold Corp,<0.01%
PIMCO Europe Ltd.,UK,Barrick Gold Corp,<0.01%
"Les Fils Dreyfus & Cie SA, Banquiers",Switzerland,Barrick Gold Corp,<0.01%
"EARNEST Partners, LLC",USA,Barrick Gold Corp,<0.01%
AllSquare Wealth Management LLC,USA,Barrick Gold Corp,<0.01%
First National Bank Of South Miami,USA,Barrick Gold Corp,<0.01%
Glens Falls National Bank & Trust Company,USA,Barrick Gold Corp,<0.01%
"NEXT Financial Group, Inc.",USA,Barrick Gold Corp,<0.01%
Old Second National Bank,USA,Barrick Gold Corp,<0.01%
"Truehand, Inc",USA,Barrick Gold Corp,<0.01%
Intrag DTVM Ltda.,Brazil,Barrick Gold Corp,<0.01%
"1919 Investment Counsel, LLC",USA,Barrick Gold Corp,<0.01%
CAPTRUST Financial Advisors,USA,Barrick Gold Corp,<0.01%
"Liberty Wealth Management, LLC",USA,Barrick Gold Corp,<0.01%
Kistler-Tiffany Advisors,USA,Barrick Gold Corp,<0.01%
Brown Brothers Harriman & Company,USA,Barrick Gold Corp,<0.01%
"Community Bank, N.A.",USA,Barrick Gold Corp,<0.01%
"Hilton Capital Management, LLC",USA,Barrick Gold Corp,<0.01%
"The Harvest Group Wealth Management, LLC",USA,Barrick Gold Corp,<0.01%
"Endurance Wealth Management, Inc.",USA,Barrick Gold Corp,<0.01%
"Burt Wealth Advisors, Inc.",USA,Barrick Gold Corp,<0.01%
FMP Wealth Advisers,USA,Barrick Gold Corp,<0.01%
Adirondack Trust Company,USA,Barrick Gold Corp,<0.01%
M1 Capital Investments (Pty) Ltd,South Africa,Barrick Gold Corp,<0.01%
Valley National Advisers Inc.,USA,Barrick Gold Corp,<0.01%
Perkins Coie Trust Company LLC,USA,Barrick Gold Corp,<0.01%
"Optimum Investment Advisors, LLC",USA,Barrick Gold Corp,<0.01%
"TCI Wealth Advisors, Inc.",USA,Barrick Gold Corp,<0.01%
"Cordasco Financial Network, LLC",USA,Barrick Gold Corp,<0.01%
Pathstone Federal Street,USA,Barrick Gold Corp,<0.01%
"Focused Wealth Management, Inc.",USA,Barrick Gold Corp,<0.01%
TrueWealth Management,USA,Barrick Gold Corp,<0.01%
"Nelson, Van Denburg & Campbell Wealth Management Group, LLC",USA,Barrick Gold Corp,<0.01%
Union Bank & Trust Company (Nebraska),USA,Barrick Gold Corp,<0.01%
"The Patriot Financial Group, LLC",USA,Barrick Gold Corp,<0.01%
Massachusetts Mutual Life Insurance Company,USA,Barrick Gold Corp,<0.01%
"Bay Harbor Wealth Management, LLC",USA,Barrick Gold Corp,<0.01%
"Cribstone Capital Management, LLC",USA,Barrick Gold Corp,<0.01%
"Financial Gravity Wealth, Inc",USA,Barrick Gold Corp,<0.01%
"Private Capital Group, LLC",USA,Barrick Gold Corp,<0.01%
"LMCG Investments, LLC",USA,Barrick Gold Corp,<0.01%
Huntington Steele LLC,USA,Barrick Gold Corp,<0.01%
"Golden State Wealth Management, LLC",USA,Barrick Gold Corp,<0.01%
"The Nalls Sherbakoff Group, LLC",USA,Barrick Gold Corp,<0.01%
"The MassMutual Trust Company, FSB",USA,Barrick Gold Corp,<0.01%
"Prestige Wealth Management Group, LLC",USA,Barrick Gold Corp,<0.01%
"[BHP Group PLC - UK] BlackRock Institutional Trust Company, N.A.",USA,BHP,10.09%
[BHP Group PLC - UK] Aberdeen Asset Investments Limited,UK,BHP,4.88%
[BHP Group PLC - UK] Elliott Management Corporation,USA,BHP,4.66%
"[BHP Group PLC - UK] The Vanguard Group, Inc.",USA,BHP,3.17%
[BHP Group PLC - UK] Norges Bank Investment Management (NBIM),Norway,BHP,3.07%
[BHP Group PLC - UK] Capital World Investors,USA,BHP,2.44%
[BHP Group PLC - UK] Capital Research Global Investors,USA,BHP,2.34%
[BHP Group PLC - UK] Legal & General Investment Management Ltd.,UK,BHP,2.08%
[BHP Group PLC - UK] Schroder Investment Management Ltd. (SIM),UK,BHP,1.73%
[BHP Group PLC - UK] Public Investment Corporation (SOC) Limited,South Africa,BHP,1.71%
[BHP Group PLC - UK] DWS Investment GmbH,Germany,BHP,1.30%
[BHP Group PLC - UK] State Street Global Advisors (UK) Ltd.,UK,BHP,1.23%
