company,tax_jurisdiction
Glencore,Bermuda
Glencore,Bolivia
Glencore,Botswana
Glencore,Brazil
Glencore,British Virgin Islands
Glencore,Canada
Glencore,Chile
Glencore,Colombia
Glencore,DRC
Glencore,France
Glencore,Germany
Glencore,Hong Kong
Glencore,Indonesia
Glencore,Ireland
Glencore,Italy
Glencore,Jersey
Glencore,Kazakhstan
Glencore,Mauritania
Glencore,Netherlands
Glencore,New Caledonia
Glencore,Norway
Glencore,Peru
Glencore,Philippines
Glencore,Russian Federation
Glencore,Singapore
Glencore,South Africa
Glencore,Spain
Glencore,Switzerland
Glencore,UAE
Glencore,UK
Glencore,USA
Glencore,Zambia
Gold Fields,Australia
Gold Fields,British Virgin Islands
Gold Fields,Ghana
Gold Fields,Peru
Gold Fields,South Africa
Grupo México,Mexico
Grupo México,Peru
Grupo México,Spain
Grupo México,USA
KGHM,Canada
KGHM,Chile
KGHM,China
KGHM,Germany
KGHM,Poland
KGHM,USA
MMG,Australia
MMG,British Virgin Islands
MMG,Canada
MMG,China
MMG,DRC
MMG,Hong Kong
MMG,Netherlands
MMG,Peru
MMG,Singapore
MMG,Switzerland
Navoi MMC,Uzbekistan
Newcrest,Australia
Newcrest,Canada
Newcrest,Chile
Newcrest,Côte d'Ivoire
Newcrest,Ecuador
Newcrest,Fiji
Newcrest,Indonesia
Newcrest,Papua New Guinea
Newcrest,Singapore
Newcrest,UK
Newcrest,USA
Newmont,Argentina
Newmont,Australia
Newmont,Bermuda
Newmont,Bolivia
Newmont,British Virgin Islands
Newmont,Canada
Newmont,Chile
Newmont,Colombia
Newmont,Dominican Republic
Newmont,France
Newmont,Ghana
Newmont,Guinea
Newmont,Guyana
Newmont,Haiti
Newmont,Honduras
Newmont,Indonesia
Newmont,Jersey
Newmont,Liberia
Newmont,Malaysia
Newmont,Mexico
Newmont,Netherlands
Newmont,Papua New Guinea
Newmont,Peru
Newmont,Solomon Islands
Newmont,Suriname
Newmont,UK
Newmont,USA
NMDC,Australia
NMDC,India
NMDC,Madagascar
NMDC,South Africa
Nordgold,British Virgin Islands
Nordgold,Burkina Faso
Nordgold,Canada
Nordgold,Cayman Islands
Nordgold,Cyprus
Nordgold,France
Nordgold,Guinea
Nordgold,Ireland
Nordgold,Jersey
Nordgold,Kazakhstan
Nordgold,Norway
Nordgold,Russian Federation
Nordgold,UK
OCP Group,Argentina
OCP Group,Belgium
OCP Group,Benin
OCP Group,Brazil
OCP Group,Burkina Faso
OCP Group,Cameroon
OCP Group,China
OCP Group,Côte d'Ivoire
OCP Group,Ethiopia
OCP Group,France
OCP Group,Ghana
OCP Group,India
OCP Group,Kenya
OCP Group,Morocco
OCP Group,Netherlands
OCP Group,Nigeria
OCP Group,Romania
OCP Group,Rwanda
OCP Group,Senegal
OCP Group,Singapore
OCP Group,Spain
OCP Group,Switzerland
OCP Group,Tanzania
OCP Group,Turkey
OCP Group,UAE
OCP Group,USA
OCP Group,Zambia
Orano,Australia
Orano,Canada
Orano,Central African Republic
Orano,China
Orano,France
Orano,Gabon
Orano,Germany
Orano,India
Orano,Japan
Orano,Jordan
Orano,Kazakhstan
Orano,Mongolia
Orano,Namibia
Orano,Niger
Orano,South Korea
Orano,UK
Orano,US Virgin Islands
Orano,USA
Peñoles,Mexico
Peñoles,UK
Peñoles,USA
Polymetal,Cyprus
Polymetal,Kazakhstan
Polymetal,Russian Federation
Polymetal,UK
Rio Tinto,Aruba
Rio Tinto,Australia
Rio Tinto,Belgium
Rio Tinto,Bermuda
Rio Tinto,Brazil
Rio Tinto,British Virgin Islands
Rio Tinto,Canada
Rio Tinto,Chile
Rio Tinto,China
Rio Tinto,Finland
Rio Tinto,France
Rio Tinto,Germany
Rio Tinto,Guinea
Rio Tinto,Hong Kong
Rio Tinto,Iceland
Rio Tinto,India
Rio Tinto,Indonesia
Rio Tinto,Italy
Rio Tinto,Japan
Rio Tinto,Jersey
Rio Tinto,Kazakhstan
Rio Tinto,Lao PDR
Rio Tinto,Luxembourg
Rio Tinto,Madagascar
Rio Tinto,Malaysia
Rio Tinto,Mexico
Rio Tinto,Mongolia
Rio Tinto,Mozambique
Rio Tinto,Netherlands
Rio Tinto,New Zealand
Rio Tinto,Oman
Rio Tinto,Papua New Guinea
Rio Tinto,Peru
Rio Tinto,Philippines
Rio Tinto,Serbia
Rio Tinto,Singapore
Rio Tinto,South Africa
Rio Tinto,South Korea
Rio Tinto,Spain
Rio Tinto,Sweden
Rio Tinto,Switzerland
Rio Tinto,UK
Rio Tinto,USA
Rio Tinto,Venezuela
Rio Tinto,Zambia
RUSAL,Armenia
RUSAL,Australia
RUSAL,British Virgin Islands
RUSAL,China
RUSAL,Cyprus
RUSAL,Guinea
RUSAL,Guyana
RUSAL,Ireland
RUSAL,Italy
RUSAL,Jamaica
RUSAL,Jersey
RUSAL,Kazakhstan
RUSAL,Netherlands
RUSAL,Russian Federation
RUSAL,Sweden
RUSAL,Switzerland
RUSAL,Ukraine
RUSAL,USA
Sibanye-Stillwater,Argentina
Sibanye-Stillwater,Canada
Sibanye-Stillwater,South Africa
Sibanye-Stillwater,UK
Sibanye-Stillwater,USA
Sibanye-Stillwater,Zimbabwe
Teck,Canada
Teck,Chile
Teck,Peru
Teck,USA
Vale,Argentina
Vale,Australia
Vale,Barbados
Vale,Brazil
Vale,Canada
Vale,Chile
Vale,China
Vale,India
Vale,Indonesia
Vale,Japan
Vale,Malawi
Vale,Malaysia
Vale,Mozambique
Vale,Netherlands
Vale,New Caledonia
Vale,Oman
Vale,Paraguay
Vale,Peru
Vale,Serbia
Vale,Singapore
Vale,South Korea
Vale,Switzerland
Vale,UAE
Vale,UK
Vale,Uruguay
Vale,USA
Vedanta,Australia
Vedanta,Curaçao
Vedanta,Cyprus
Vedanta,India
Vedanta,Ireland
Vedanta,Japan
Vedanta,Jersey
Vedanta,Liberia
Vedanta,Mauritius
Vedanta,Namibia
Vedanta,Netherlands
Vedanta,South Africa
Vedanta,South Korea
Vedanta,Sri Lanka
Vedanta,Taiwan
Vedanta,UAE
Vedanta,UK
Vedanta,USA
Vedanta,Zambia
Zijin,Australia
Zijin,Barbados
Zijin,China
Zijin,Colombia
Zijin,DRC
Zijin,Eritrea
Zijin,Guyana
Zijin,Hong Kong
Zijin,Kyrgyzstan
Zijin,Papua New Guinea
Zijin,Russian Federation
Zijin,Serbia
Zijin,Tajikistan
