Company,Mine Site,Aliases,Company's share (%),Country,Mining type,Products,Status as of 29.11.2019,Year of closure (if applicable),Opening Year,Acquisition Year,Latitude,Longitude,Selected for the mine-site level evaluation,Total Worker Fatalities (2017),Employee Fatalites (2017),Contract Worker Fatalities (2017),Other Fatalities (2017),Total Worker Fatalities (2018),Employee Fatalities (2018),Contract Worker Fatalities (2018),Other Fatalities (2018)
Coal India,Mohanpur,ECL,100,India,,Coal,Operational,,,,23.8667,86.2,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Moira,"ECL, Cluster 10",100,India,Underground,Coal,Operational,,,,23.623,87.222,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Moonidih,"BCCL, Western Jharia, Coal Bed Methane (CBM), Cluster XI",100,India,Underground,Coal,Operational,,,,23.725,86.3671,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Muraidih,"BCCL, Barora, Shatabdi",100,India,"Open-pit, Underground",Coal,Operational,,,,23.804,86.2378,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Musila,"ECL, Cluster 9",100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Naba Kajora,"ECL, Cluster 10",100,India,Underground,Coal,Operational,,,,23.629,87.188,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Nagpur,"WCL, Nagpur",100,India,"Open-pit, Underground",Coal,Operational,,,,21.2571,79.1344,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Nakrakonda,"ECL, Cluster 12",100,India,Open-pit,Coal,Operational,,,,23.682,87.275,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Namchik Namphuk,"NEC, Namchik Namphuk Coalfield",100,India,,Coal,Operational,,,,27.395,96.0161,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Nandira,MCL,100,India,,Coal,Operational,,,,20.95,85.2167,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Narainkuri,"ECL, Cluster 9",100,India,,Coal,Operational,,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Narsamunda,"ECL, Cluster 6",100,India,Underground,Coal,Operational,,,,23.685,86.912,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
