Company name,Name of Tailing Storage Facility,Country,Status,Construction method,Impact-based hazard category,Guideline followed for hazard classification system,Latitude (Decimal degrees),Longitude (Decimal degrees)
Glencore,"Smelter Complex, East Mine Tailings",Canada,Inactive,Upstream,High,Canadian Dam Association (CDA),46.57901944,-80.7858
Glencore,"Nickel Rim Mine, Nickel Rim South, NR-2",Canada,Inactive,Downstream,Significant,Canadian Dam Association (CDA),46.66083333,-80.7975
Glencore,"Nickel Rim Mine, Nickel Rim South, (Moose Lake Dam)",Canada,Inactive,Downstream,Significant,Canadian Dam Association (CDA),46.67027778,-80.80472222
Glencore,"Raglan Mine, (Tailings Dry Stack)",Canada,Active,Drystack,Significant,Canadian Dam Association (CDA),61.687425,-73.67841389
Glencore,"Hardy Mine, Hardy Mine, (Tailings Dam)",Canada,Closed,Downstream,High,Canadian Dam Association (CDA),46.63694444,-81.40777778
Glencore,"Murrin Murrin Mine, Paddock TSF - North, (North Dam)",Australia,Inactive,Upstream,High,DMIRS,-28.76901389,121.9175056
Glencore,"Murrin Murrin Mine, Paddock TSF - South, (South Dam)",Australia,Inactive,Upstream,High,DMIRS,-28.75815,121.9085167
Glencore,"CEZinc Processing Plant, Jarosite, (North)",Canada,Active,Downstream,Very high,Canadian Dam Association (CDA),45.23472222,-74.1275
Glencore,"CEZinc Processing Plant, Jarosite, North-East",Canada,Closed,Downstream,High,Canadian Dam Association (CDA),45.23083333,-74.11972222
Glencore,"CEZinc Processing Plant, Q Jarosite Triangular, North-West",Canada,Active,Downstream,High,Canadian Dam Association (CDA),45.23138889,-74.12361111
Glencore,"CEZinc Processing Plant, Ferrite, (West)",Canada,Active,Downstream,High,Canadian Dam Association (CDA),45.22861111,-74.10888889
Glencore,"CEZinc Processing Plant, Ferrite, North",Canada,Active,Downstream,Significant,Canadian Dam Association (CDA),45.23083333,-74.10888889
Glencore,"CEZinc Processing Plant, Ferrite, South",Canada,Active,Downstream,Very high,Canadian Dam Association (CDA),45.22805556,-74.10416667
